，,44189
。,24817
：,10432
“,9457
”,9392
曰,8876
之,7967
不,6844
 ,5795
人,5185
军,4967
兵,4776
大,4243
一,4068
马,3953
将,3859
来,3320
、,3119
有,2997
下,2865
此,2842
于,2823
操,2818
；,2775
？,2764
中,2763
为,2684
！,2586
见,2573
而,2530
何,2446
出,2390
吾,2374
可,2340
也,2319
德,2278
后,2243
以,2226
明,2217
曹,2144
公,2118
上,2075
今,1969
与,1901
玄,1886
张,1880
去,1865
其,1862
日,1826
令,1819
乃,1795
城,1793
孔,1782
回,1748
自,1748
二,1731
引,1707
言,1686
如,1678
在,1664
入,1640
是,1634
相,1609
得,1591
无,1512
杀,1511
三,1469
说,1459
先,1456
了,1452
主,1442
我,1432
前,1427
至,1422
到,1415
关,1410
知,1395
子,1395
天,1356
皆,1347
十,1340
事,1319
必,1246
汝,1242
时,1237
魏,1235
当,1221
又,1207
山,1203
只,1200
刘,1196
已,1195
若,1178
云,1172
报,1168
却,1151
众,1150
欲,1143
正,1119
战,1112
使,1111
寨,1108
王,1103
路,1093
孙,1090
长,1071
州,1052
遂,1050
安,1047
问,1039
心,1038
取,1014
起,1011
死,1010
然,1001
者,981
行,978
吴,963
守,962
计,956
矣,947
等,942
便,918
命,911
书,908
分,907
从,902
士,896
未,891
布,888
诸,885
蜀,867
侯,835
权,831
东,828
飞,822
急,822
面,820
进,819
南,810
闻,806
臣,798
走,797
数,791
能,791
四,786
百,784
忽,771
即,770
两,764
都,761
所,760
往,760
五,756
江,755
备,753
望,752
退,743
平,737
门,731
地,731
汉,726
万,726
故,720
太,707
小,706
方,701
处,695
文,694
生,694
司,691
降,687
用,682
水,679
各,672
敢,659
尽,657
声,651
西,651
黄,641
惊,638
余,634
手,633
议,630
夜,628
维,625
听,619
败,618
请,617
亦,616
被,612
国,610
吕,608
懿,606
且,599
帝,596
住,596
喜,594
贼,592
左,587
领,585
怒,581
内,576
许,572
丞,568
忠,568
道,566
名,564
待,563
瑜,563
官,563
夫,562
徐,561
非,559
袁,557
教,556
应,554
伏,552
武,550
看,549
身,548
立,547
成,547
多,547
同,544
救,541
意,540
阵,533
阳,533
周,531
夏,525
某,523
过,520
火,520
千,520
右,519
绍,518
策,518
拜,517
敌,517
定,515
年,514
斩,512
合,511
里,503
家,503
赶,498
作,497
师,497
荆,496
笑,494
口,490
攻,483
会,482
并,480
粮,479
刀,478
高,478
因,477
次,475
头,471
延,468
迎,468
外,458
亲,457
北,454
追,454
君,451
间,449
赵,444
表,441
谋,440
胜,437
船,437
车,435
乎,434
势,433
投,428
毕,426
陈,426
甚,425
归,423
恐,423
李,422
谓,421
早,419
耳,418
告,417
重,416
愿,416
遣,414
营,412
弟,410
昭,409
接,407
发,405
放,405
虽,405
视,404
他,404
随,403
受,403
首,401
及,400
父,399
直,396
肃,394
失,394
连,392
休,390
再,389
兴,389
则,387
乘,385
尚,385
奏,384
兄,384
旗,382
复,380
功,379
艾,379
骑,377
足,375
原,375
商,371
奉,369
帐,368
坐,368
边,365
义,364
更,363
老,362
破,361
酒,361
郡,360
葛,360
封,359
乱,357
力,357
本,356
奔,356
久,356
就,356
反,352
要,350
箭,350
龙,350
开,349
唤,347
礼,345
疑,345
超,344
卓,344
姜,343
孟,343
朝,342
动,341
董,340
宫,340
解,340
民,338
既,338
岂,338
邓,336
收,336
部,335
剑,334
杨,332
统,330
图,328
金,325
留,325
姓,324
齐,322
擒,322
风,319
获,319
法,319
屯,317
彼,316
真,316
督,314
字,314
亮,310
近,310
交,310
才,309
背,309
耶,307
郭,307
难,305
韩,303
叫,303
仁,302
枪,302
径,301
观,298
送,297
皇,297
弃,292
远,291
川,291
着,291
须,288
带,288
月,288
哭,288
良,288
但,286
围,284
锋,281
密,281
还,276
罪,275
八,275
草,272
辞,271
你,267
射,265
叹,264
信,263
气,262
献,262
提,262
个,261
传,260
把,259
诏,259
河,258
少,258
思,258
鲁,258
差,257
白,256
坚,254
鼓,254
半,254
好,253
号,252
饮,252
常,251
流,251
打,251
那,250
探,250
郃,249
实,248
轻,248
勿,247
共,246
肯,245
服,245
害,245
雄,244
冲,244
谷,243
庞,242
谢,241
宜,240
第,239
深,237
求,237
病,237
纵,235
陛,235
别,234
虎,233
答,232
诗,232
辽,232
任,232
暗,231
乐,231
喊,231
决,230
容,229
向,228
助,227
设,225
允,224
举,223
止,223
七,222
夺,222
奈,222
宁,222
衣,222
叔,221
世,220
贤,220
甲,220
付,219
孤,218
虚,217
保,217
谁,217
神,217
断,216
召,216
指,214
元,214
幸,213
史,213
土,212
征,212
蒙,211
星,211
全,211
居,211
达,210
侍,210
母,209
恩,209
翼,208
程,208
承,208
卿,207
食,207
骂,207
对,206
威,206
恨,204
散,202
称,202
渡,202
顾,201
震,201
慌,199
目,199
陆,197
陵,196
落,196
聚,195
色,195
朕,195
曾,195
新,194
谏,194
击,193
的,193
晃,192
六,192
约,191
伐,191
勇,191
速,191
驾,190
特,190
府,190
昔,190
氏,190
刺,189
建,189
岱,189
遇,189
石,187
璋,185
丕,185
料,184
喝,184
拨,184
忧,183
渊,183
果,183
干,183
叱,183
亡,183
临,182
精,182
和,181
细,181
危,181
术,180
逃,180
女,180
赏,180
逊,180
诈,179
赐,179
弓,178
蛮,178
青,178
祖,176
步,176
推,176
桥,176
结,175
寻,175
袭,175
英,175
否,175
物,175
队,175
离,174
蔡,174
绝,174
班,173
甘,172
盖,172
光,172
依,171
襄,171
严,171
倒,170
登,169
堂,169
泰,168
九,168
淮,168
顺,168
善,168
加,167
俱,167
牛,167
负,165
宴,165
突,165
木,165
匹,164
息,164
角,164
变,164
惧,164
盛,163
旧,163
仇,162
理,162
惇,161
苞,161
禁,161
执,161
松,161
华,160
慈,160
赴,159
典,159
情,159
祁,159
拒,159
劳,159
罢,158
位,157
霸,155
造,154
招,154
褚,154
洪,154
颜,154
挺,154
劝,154
劫,153
宗,153
妻,152
岸,152
群,152
修,152
驱,152
敬,151
睿,151
异,150
县,149
厚,149
伤,149
忙,149
持,148
室,148
儿,148
化,148
满,148
雍,147
护,147
殿,146
灵,146
亭,145
致,145
瑾,144
利,144
灭,144
通,143
仪,143
业,143
初,143
莫,142
斗,142
语,142
尉,142
郎,140
晚,140
这,140
讨,140
怀,139
朱,139
御,138
倘,138
拔,138
野,137
空,137
勒,136
济,136
傕,136
折,135
汜,134
险,134
性,134
困,134
争,133
讫,133
候,133
卒,132
机,132
终,132
扶,132
乾,132
准,132
贾,131
卧,131
具,130
惟,130
丁,130
樊,129
独,129
蒋,129
傅,129
吉,129
极,128
想,128
除,127
比,127
志,127
掩,127
彪,126
强,126
春,126
托,125
血,124
洛,123
响,123
糜,123
逆,123
截,123
丈,122
识,122
诛,122
幼,122
林,122
犹,122
器,122
横,122
祭,122
袍,122
洞,121
调,121
烧,121
捉,121
哨,121
点,121
每,120
哉,120
祸,119
宝,119
治,119
赍,119
拥,118
戟,118
丧,118
泣,118
脱,117
呼,117
奋,116
仗,116
腹,116
田,116
镇,116
砍,115
冀,115
玉,115
缚,115
切,115
论,115
纪,114
整,114
感,114
席,114
免,113
范,113
转,113
昌,113
铁,113
普,112
据,112
抵,112
庶,112
奸,112
防,112
古,111
伯,111
雨,111
仓,111
升,111
海,111
荀,110
迟,109
骤,109
綝,109
现,109
略,108
遍,108
遗,108
桓,108
誓,108
—,108
徒,107
列,107
融,107
犯,107
钟,106
几,105
谭,105
运,105
益,105
披,104
孝,104
痛,104
瑁,103
校,103
凉,103
虑,103
吏,102
埋,102
廷,102
素,102
误,102
奇,102
载,102
节,101
肉,101
员,101
易,101
苦,101
瓒,100
废,100
智,100
纳,100
腾,100
芳,99
按,99
泪,99
阁,99
级,99
览,98
番,98
豫,98
患,98
条,98
尝,98
赤,98
或,97
皓,97
红,97
绣,96
仲,95
辅,95
经,95
爽,95
舍,95
催,95
乡,95
仰,94
锦,94
忍,94
攸,94
竟,94
写,94
施,94
歇,93
双,93
顿,93
秋,93
率,93
挂,92
赞,92
岁,92
韦,92
避,92
昏,92
专,92
廖,92
管,91
鸣,91
夹,91
隐,91
台,91
话,90
梁,90
卫,90
搦,90
广,89
乞,89
妾,89
寿,89
辱,89
画,89
诩,89
舟,88
参,88
